type,room_type,area_m2,price,external_features,interior_features,location_features
Daire,6 + 2,300.0,2550000.0,"['Asansör', ' Isı Yalıtım', ' Kapıcı', ' Otopark - Açık', ' Oyun Parkı', ' PVC Doğrama', ' Site içerisinde', ' Su deposu', ' Yangın Merdiveni']","['Ankastre Mutfak', ' Balkon', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Gömme Dolap', ' Görüntülü Diafon', ' Hazır Mutfak', ' Hilton Banyo', ' Isıcam', ' Jakuzi', ' Kablo TV-Uydu', ' Kapalı Balkon', ' Kartonpiyer', ' Laminant Mutfak', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Parke - Laminant', ' Saten Alçı', ' Saten Boya', ' Seramik Zemin', ' Spot Işık', ' Vestiyer']","['Cadde Üzerinde', ' Caddeye yakın', ' Havaalanına yakın', ' Manzara', ' Manzara - Şehir', ' Merkezde', ' Minibüs / Dolmuşa yakın', ' Otobana yakın', ' Ön cephe', ' Toplu Ulaşıma yakın']"
Daire,3 + 1,135.0,1513000.0,"['Asansör', ' Isı Yalıtım', ' Otopark - Açık', ' Otopark - Kapalı']","['Ankastre Mutfak', ' Balkon', ' Çelik Kapı', ' Duşakabin', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Görüntülü Diafon', ' Hazır Mutfak', ' Mutfak Doğalgazı', ' Panel Kapı', ' Spot Işık']","['Merkezde', ' Otobana yakın', ' Ön cephe']"
Daire,3 + 1,135.0,1100000.0,"['Asansör', ' Hidrofor', ' Jeneratör', ' Kapıcı', ' PVC Doğrama', ' Siding', ' Su deposu', ' Yangın Merdiveni', ' Yüzme Havuzu']","['ADSL', ' Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Barbekü', ' Beyaz Eşyalı', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Gömme Dolap', ' Görüntülü Diafon', ' Hilton Banyo', ' Isıcam', ' Jakuzi', ' Kablo TV-Uydu', ' Kartonpiyer', ' Klima', ' Laminant Mutfak', ' Marley', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Sauna', ' Seramik Zemin', ' Spot Işık', ' Şömine', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' Deniz Ulaşımına yakın', ' Denize sıfır', ' Denize yakın', ' ""E-5e yakın""', ' Havaalanına yakın', ' Manzara - Boğaz', ' Manzara - Deniz', ' Manzara - Doğa', ' Manzara - Göl', ' Manzara - Şehir', ' Marmaraya yakın', ' Metrobüse yakın', ' Metroya yakın', ' ""TEMe yakın""', ' Tramvaya yakın']"
Daire,4 + 1,160.0,1450000.0,"['Asansör', ' Isı Yalıtım', ' PVC Doğrama']","['ADSL', ' Ankastre Mutfak', ' Balkon', ' Çelik Kapı', ' Duşakabin', ' Ebeveyn Banyolu', ' Kablo TV-Uydu', ' Kartonpiyer', ' Parke', ' Parke - Laminant', ' Spot Işık', ' Vestiyer']","['Cadde Üzerinde', ' Caddeye yakın', ' Havaalanına yakın', ' Manzara - Şehir', ' Merkezde', ' Minibüs / Dolmuşa yakın', ' Ön cephe', ' Toplu Ulaşıma yakın']"
Daire,3 + 1,130.0,1250000.0,"['Asansör', ' Hidrofor', ' Jeneratör', ' Kapıcı', ' PVC Doğrama', ' Siding', ' Su deposu', ' Yangın Merdiveni', ' Yüzme Havuzu']","['ADSL', ' Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Barbekü', ' Beyaz Eşyalı', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Gömme Dolap', ' Görüntülü Diafon', ' Hilton Banyo', ' Isıcam', ' Jakuzi', ' Kablo TV-Uydu', ' Kartonpiyer', ' Klima', ' Laminant Mutfak', ' Marley', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Sauna', ' Seramik Zemin', ' Spot Işık', ' Şömine', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir', ' Metrobüse yakın', ' Metroya yakın']"
Daire,3 + 1,140.0,1375000.0,"['Hidrofor', ' Jeneratör', ' Kapıcı', ' PVC Doğrama', ' Siding', ' Su deposu', ' Yangın Merdiveni', ' Yüzme Havuzu']","['ADSL', ' Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Barbekü', ' Beyaz Eşyalı', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Gömme Dolap', ' Hilton Banyo', ' Isıcam', ' Kablo TV-Uydu', ' Kartonpiyer', ' Klima', ' Laminant Mutfak', ' Marley', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Sauna', ' Seramik Zemin', ' Spot Işık', ' Şömine', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' Denize yakın', ' ""E-5e yakın""', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir', ' Metrobüse yakın', ' Tramvaya yakın']"
Daire,3 + 1,120.0,1300000.0,"['Asansör', ' Hidrofor', ' Jeneratör', ' Kapıcı', ' PVC Doğrama', ' Siding', ' Su deposu', ' Yangın Merdiveni', ' Yüzme Havuzu']","['ADSL', ' Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Barbekü', ' Beyaz Eşyalı', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Gömme Dolap', ' Görüntülü Diafon', ' Hilton Banyo', ' Isıcam', ' Jakuzi', ' Kablo TV-Uydu', ' Kartonpiyer', ' Klima', ' Laminant Mutfak', ' Marley', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Sauna', ' Seramik Zemin', ' Spot Işık', ' Şömine', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir']"
Villa,4 + 1,200.0,4600000.0,['PVC Doğrama'],"['ADSL', ' Alarm', ' Ankastre Mutfak', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Giyinme Odası', ' Gömme Dolap', ' Görüntülü Diafon', ' Hilton Banyo', ' Isıcam', ' Kartonpiyer', ' Klima', ' Laminant Mutfak', ' Marley', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Seramik Zemin', ' Spot Işık', ' Şömine', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' Denize sıfır', ' Manzara - Şehir']"
Daire,3 + 1,130.0,1100000.0,"['Asansör', ' Hidrofor', ' Jeneratör', ' Kapıcı', ' PVC Doğrama', ' Siding', ' Su deposu', ' Yangın Merdiveni', ' Yüzme Havuzu']","['ADSL', ' Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Barbekü', ' Beyaz Eşyalı', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Gömme Dolap', ' Görüntülü Diafon', ' Hilton Banyo', ' Isıcam', ' Jakuzi', ' Kablo TV-Uydu', ' Kartonpiyer', ' Klima', ' Laminant Mutfak', ' Marley', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Sauna', ' Seramik Zemin', ' Spot Işık', ' Şömine', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' Denize sıfır', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir', ' Metrobüse yakın']"
Daire,3 + 1,130.0,1350000.0,"['Asansör', ' Hidrofor', ' Jeneratör', ' Kapıcı', ' PVC Doğrama', ' Siding', ' Yangın Merdiveni', ' Yüzme Havuzu']","['ADSL', ' Ahşap Doğrama', ' Alarm', ' Ankastre Mutfak', ' Balkon', ' Barbekü', ' Beyaz Eşyalı', ' Çamaşır Odası', ' Çelik Kapı', ' Duşakabin', ' Duvar Kağıdı', ' Ebeveyn Banyolu', ' Giyinme Odası', ' Gömme Dolap', ' Görüntülü Diafon', ' Hilton Banyo', ' Isıcam', ' Jakuzi', ' Kablo TV-Uydu', ' Kartonpiyer', ' Klima', ' Laminant Mutfak', ' Marley', ' Mobilyalı', ' Mutfak Doğalgazı', ' Panel Kapı', ' Parke', ' Seramik Zemin', ' Spot Işık', ' Şömine', ' Teras', ' Vestiyer']","['Cadde Üzerinde', ' Deniz Ulaşımına yakın', ' Denize yakın', ' ""E-5e yakın""', ' Havaalanına yakın', ' Manzara - Doğa', ' Manzara - Şehir', ' Metroya yakın']"
